comedian,transcript
Anthony_Jeselnik,"When I was a kid, I used to fantasize about getting older, growing up and having money, and buying my mom nice things for her birthday. When I was a kid, we were poor. So poor I remember, just so I could go to my senior prom, just so I could go to my senior prom, I had to sell my U.S. passport on the street. Sold my passport on the street for 300 bucks to get to go to my prom. Of course this was before 9/11 so… my bad, everybody. Weird joke to clap for, but sure. My mom actually should’ve been on one of the planes that crashed on 9/11. I think.I mean, don’t get me wrong, I loved my mother. She was my mom, of course I loved her. We fought a lot. My mom could be very racist. Very racist. And I do not tolerate racism. That’s ignorance and I hate that. When I was a kid, like nine years old, I’d come home after school. Once in a while, I’d bring a friend over to play with me at my house. Once in a while, I’d bring a black friend over. And when I did that, my mom would act weird. She’d pull me aside and say, “Anthony, who’s your new friend? Is he a drug dealer?” And I would say, “Shut up, Mom, that’s racist. Put your money away.”I never get to see my family anymore, really. Most of them are in jail, to be honest. And we never talk, write letters or any of that shit. ‘Cause they’re all in jail for the exact same thing. My testimony."
Anthony_Jeselnik_2," No one should ever ask me to speak at anyone’s funeral. I asked a friend for advice. Was like, “I’ve never talked to a group of people without getting paid a lot of money. How should I handle this?” “Anthony, just go up there and tell a story. Find one moment about you and your grandma you can share with everybody. And don’t tell a joke. Try not to.” So I walked up and was like, “You know what my favorite memory was? When I was like four years old, before I learned to read, Grandma would curl up with me on the couch, she had this Southern accent, and she would read to me. She would read Mark Twain to me, and I loved it. Like… Mark Twain out of my grandma’s mouth, it would just come to life.” And then I couldn’t help myself. I said, “And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.” Now I promise you… I promise you… until you’ve heard your grandfather gasp at his own wife’s funeral… …at a Methodist Church in Vicksburg, Mississippi… you are not a real comedian. I am a real comedian. I am a pure comedian. I think I’m one of the best comedians of all time. "
Ali_Wong,"The last time I was at home in San Francisco, I was trying to help her get rid of shit. Don’t ever do that with your mom. It was like the worst experience of my life. It was so emotional. We were screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82… manual. The manual. She don’t even know… where the calculator is. Those of you under 25 probably don’t know what that calculator is. It was this calculator that bamboozled my generation. We were all required to buy it when we were in eight grade. It cost like $200. And everybody thought it was like this Judy Jetson’s laptop from the future. All because what? It could graph. It was like the Tesla of my time. And my mom got so emotional about the manual and she was like, “You never know when you might need this.” And I was like, “But… I do know… that I’m gonna have to clean all this shit up when you die.” “And I’m not trying to be a procrastinator anymore. Because according to Deepak-Oprah, that’s not the way for me to achieve my optimum level of success.”"
Ali_Wong_2,"I need to have children to keep me company when I get older. It’s lonely. My mom is 80, going through a full blown mid-life crisis. ‘Cause she knows that she’s got a century more to go. And she is so lonely. All of her white friends, dead. Her Mexican friends, dead. Black friends, dead. I’m just kidding. She doesn’t have any black friends. Life is not Rush Hour, the movie, OK? I need children to be there for me when I’m older, when I get as old as her. And when I say be there for me, I mean pay for me when my husband isn’t around to support me anymore. I’m not trying to be one of those old Chinese ladies who recycles for a living. That’s not my destiny, OK? Old Chinese ladies, they don’t give a fuck. They got no shame. They’re like, “I’m just gonna recycle… go bald… go to the park, do this shit.” They do that ’cause it’s a free activity. For them. They do it in their– their big-ass V. Stiviano visor, their Darth Vader-Tomb Raider- Boba Fett helmet. They wear that to protect themselves from their arch-nemesis, the sun. Their in a contest to see who’s gonna burn out first. Old Asian ladies and the sun are like the Tupac and Biggie of longevity."
Chelsea_Peretti,"A friend of a friend just posted like 500 engagement photos on Facebook. It was a photoset of 500 photos. I’m not exaggerating. It’s like that wedding portraiture, where it’s just like, two assholes back to back in the woods, just like… [laughing shrilly] “To the future!” I’m just obsessed with the entire photoset. I’m just like, “Next, next, next, next, more, more, more, more.” Every photo, they were just like… [giggles shrilly] “Uh-oh, it’s us again.” [trills] This same girl on Facebook, all her posts and all her updates are about her husband. That’s all she seems to write or think about, but she doesn’t call him her husband, which would be awesome, and she doesn’t call him by his name, which would also be great. She calls him by a word that I really feel is one of the more disgusting words in the English language. She calls him her “hubby,” which, to me is on par with the “N” word. Like let’s… Let’s eradicate both. All her updates, she’s just like, “My hubby made breakfast. My hubby fixed the door. My hubby is sleeping. He breathed in, he breathed out. He breathed in, he breathed out.” I just keep waiting for the day where she is like, “My hubby shot himself in the face! His letter said he missed his name… which I just found out is Steven. Missing my hub like a mug.”
"
Chelsea_Peretti_2,"If you really want to piss off a really hot girl, like a model-hot girl, go onto her social media, find a photo where she looks smoking hot, and you’re just a regular girl. Go onto her comments and just be like, “People say I look just like you.” She’ll be like, “No!” Do you know that women Botox their armpits? This is an actual thing. It’s not to make them look youthful, you know. “Hi, everyone, same old me.” It’s actually to stop them from sweating, because why would you, you know, as a human? But the reason I know about it is I met a girl who did it, and she was like, “It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole.” So, I’m… uh… Is that a good trade? like, kind of a deal with the devil. Then I’m imagining the guy that sees her out somewhere and is just like… “Oh, ho, ho, ho.” He’s like… [constricted laughter] He’s like, [surfer voice] “She is so fucking hot. Her armpits are bone-fucking-dry… just like I always dreamed of.” Then he’s like, “Whoa, whoa, whoa!” That’s him slipping on her butt sweat. “Whoa, whoa, whoa!” He’s like, “I’m so drawn to you, but I can’t get near you! This is a whole new kind of juicy booty.” [audience cheers and applauds] He’s a surfer. That’s his profession. Why just because you go onto the ocean on a thingy… do you have a dialect? Why just ’cause you have an athletic skill set, do you laugh like… [constricted laughter] It’s like, “Just stop making such a tight circle with your mouth… and then more laugh sounds could get out.”

"
Donald_Glover,"I was babysitting this kid once, this mean kid, and I remember the first time I saw him, I opened the door and there were tears streaming down his face, tears streaming down his face, but he wasn’t crying. He wasn’t crying. Just tears, he was giving me this mean mug, he was like… I was like, what the fuck is wrong with this kid? What’s going on with this kid? I found out later that his parents were very organic and they wouldn’t let him have any sugar, they wouldn’t let him have any candy. He would… The sweetest thing he was allowed was mints. He was just allowed to have mints. So he would steal mints by the handful. So his breath was so fresh… the vapors from his own mouth made his eyes water. Like, he’d be like, “Hello!” And then like… Just, they would just bleed… It was crazy. I would take him to the park, right? Washington Square Park, and all the babysitters in New York for some reason are Trinidadian. They’re all Trinidadian babysitters. And I would take him to the park and I was the only boy there, you know, I was hanging out. You know, they were cool. You know, we’d trade jerk- chicken recipes and stuff. And he… he was just a mean-spirited kid, like, he kind Of… Like, he watched HBO just a little too early and was just kind of a mean kid in general, so he would just come through and just…He wanted to get to his slide, so he just pushed over this little girl, she fell over, and her Trinidadian babysitter comes over and goes, “Hey! You leave that little girl alone.” And he goes, “Shut up.” And she goes, “Don’t you talk to me like that, I am a grown-up, you will respect me.” And he goes, “Suck my d!ck!” And the lady goes… I shit you not… The lady goes, “Someone betta get this little niglet away from me.” 
"
Donald_Glover_2,"I was hanging out in my neighborhood and this girl was jogging and we started talking about a rape that had happened in the neighborhood, and we were talking about… “Oh, this is awful, this is so messed up. I can’t believe this happened so close to us.” And she goes, “Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em.” “Yes, I will. I have no problem.” Uh… Two things, lady. Number one, he’s a rapist. So his tolerance for gross stuff is probably pretty high. It’s probably pretty high. Number two… you can shit on command? Like, you can just… You can just poop whenever you want to? Just be like… Hyah! He’s like, “Oh God, no!” Like… You can poop whenever you want? Like, you got… You’re a national treasure. Like, you can… You got more superpowers than Shaft if you can poop whenever you want. That’s amazing, okay? No, I can’t poop whenever I want. Somebody can run down… down the stage right now and pull out a gun and be like, “Shit yourself! Poop yourself right now!” I’d be like, “Blow my head off.” I can’t do it, I can’t do it, I’m not… Me and my butt are, like, always on the third date, I feel like. I feel like, me, I’m always like, come on, let’s… hurry up, let’s do this. And my butt’s always like, stop rushing me, when the time is right. I’m not in love yet. That was me in a domestic dispute with my… with my butt.
"
Hasan_Minhaj,"Have you seen the show called The Slap? This is a real show on NBC. This is a real show about a white kid that gets slapped at a birthday party. Are you fucking kidding? Thirteen episodes for this kid? Are you kidding me? Do you know when br0wn kids get slapped? Every br0wn birthday party. And usually it’s the kid whose birthday it is, and we stand there and point and laugh. We go, “Ah, Biju got slapped on his birthday!” And that’s what makes us tough and resilient. It’s why we become cardiologists and win spelling bees. Slapping is important. It elevates your game.You ever seen an Indian kid win a spelling bee? Incredible! Ice water in the veins. [laughter] That kid won’t choke on camera. He’s been slapped on camera.Of course he can spell “knaidel”.Knaidel.Look at that face. Nothing. Nothing! He’s 12 years old. Nothing! This kid just won $30,000 cash. Nothing. People ask, “Where does that come from?” Look at this kid’s parents. Your son just won the Scripps National Spelling Bee. Look at his brother. His brother is like, “I’m fucked. I’m fucked. The bar is way too high. I should kill myself.” People say, “Where’s Bobby Jindal from?” That’s where he comes from. That is an Indian sociopath. "
Hasan_Minhaj_2,"Now, my AP Calc class was a group of overachievers and my Calc teacher, Mr Pendleton, wanted us to live lives outside of school. So one day he gets up in front of the entire class. “Alright, you guys are all killing it academically but I want you to know there is more to life than just getting into UC Berkeley.” One kid was like, “I know, getting into Stanford.” He’s like, “No, you have to live a life worth talking about, which is why I’m making it mandatory for everyone in this class to go to prom.” I’m like, “All 30 of us? We’re all going to prom? AP Calc? Us? Me, Jehovah’s Witness girl, Korean exchange students, going to the prom? Thirty for 30? All of us?” I’m laughing so hard, I’m crying. He’s like, “Hanson, this is not funny.” He walks over to the board, he pulls it down. It’s a bracket with everybody’s name on it leading up to the big dance. It’s March Madness for nerds. I’m like, “Whatever, it’s not going to happen. He can’t do this.”"
